filename,width,height,class,xmin,ymin,xmax,ymax
/content/Ouhands_bounding/train_colour/A-ima-0001.png,640,480,A,88,78,350,360
/content/Ouhands_bounding/train_colour/A-ima-0002.png,640,480,A,138,98,403,395
/content/Ouhands_bounding/train_colour/A-ima-0003.png,640,480,A,71,64,375,419
/content/Ouhands_bounding/train_colour/A-ima-0004.png,640,480,A,73,64,343,371
/content/Ouhands_bounding/train_colour/A-ima-0005.png,640,480,A,135,95,405,394
/content/Ouhands_bounding/train_colour/A-ima-0006.png,640,480,A,119,115,378,356
/content/Ouhands_bounding/train_colour/A-ima-0007.png,640,480,A,111,105,407,434
/content/Ouhands_bounding/train_colour/A-ima-0008.png,640,480,A,115,104,375,396
/content/Ouhands_bounding/train_colour/A-ima-0009.png,640,480,A,115,107,395,413
/content/Ouhands_bounding/train_colour/A-ima-0010.png,640,480,A,135,95,411,405
/content/Ouhands_bounding/train_colour/A-jha-0001.png,640,480,A,173,192,272,331
/content/Ouhands_bounding/train_colour/A-jha-0002.png,640,480,A,322,175,430,295
/content/Ouhands_bounding/train_colour/A-jha-0003.png,640,480,A,284,155,393,267
/content/Ouhands_bounding/train_colour/A-jha-0004.png,640,480,A,114,211,220,330
/content/Ouhands_bounding/train_colour/A-jha-0005.png,640,480,A,285,175,394,326
/content/Ouhands_bounding/train_colour/A-jha-0006.png,640,480,A,131,211,230,331
/content/Ouhands_bounding/train_colour/A-jha-0007.png,640,480,A,320,170,425,316
/content/Ouhands_bounding/train_colour/A-jha-0008.png,640,480,A,171,179,253,274
/content/Ouhands_bounding/train_colour/A-jha-0009.png,640,480,A,312,165,424,305
/content/Ouhands_bounding/train_colour/A-jha-0010.png,640,480,A,220,191,307,321
/content/Ouhands_bounding/train_colour/A-jhb-0001.png,640,480,A,218,242,387,436
/content/Ouhands_bounding/train_colour/A-jhb-0002.png,640,480,A,222,278,403,479
/content/Ouhands_bounding/train_colour/A-jhb-0003.png,640,480,A,247,212,437,431
/content/Ouhands_bounding/train_colour/A-jhb-0004.png,640,480,A,219,242,385,431
/content/Ouhands_bounding/train_colour/A-jhb-0005.png,640,480,A,205,226,385,427
/content/Ouhands_bounding/train_colour/A-jhb-0006.png,640,480,A,222,242,392,431
/content/Ouhands_bounding/train_colour/A-jhb-0007.png,640,480,A,219,237,391,444
/content/Ouhands_bounding/train_colour/A-jhb-0008.png,640,480,A,219,242,387,436
/content/Ouhands_bounding/train_colour/A-jhb-0009.png,640,480,A,228,247,397,431
/content/Ouhands_bounding/train_colour/A-jhb-0010.png,640,480,A,204,202,397,388
/content/Ouhands_bounding/train_colour/A-jya-0001.png,640,480,A,282,88,427,254
/content/Ouhands_bounding/train_colour/A-jya-0002.png,640,480,A,218,67,330,193
/content/Ouhands_bounding/train_colour/A-jya-0003.png,640,480,A,164,51,288,196
/content/Ouhands_bounding/train_colour/A-jya-0004.png,640,480,A,295,134,444,275
/content/Ouhands_bounding/train_colour/A-jya-0005.png,640,480,A,246,56,377,193
/content/Ouhands_bounding/train_colour/A-jya-0006.png,640,480,A,288,103,429,228
/content/Ouhands_bounding/train_colour/A-jya-0007.png,640,480,A,239,32,362,166
/content/Ouhands_bounding/train_colour/A-jya-0008.png,640,480,A,292,114,449,264
/content/Ouhands_bounding/train_colour/A-jya-0009.png,640,480,A,181,56,295,190
/content/Ouhands_bounding/train_colour/A-jya-0010.png,640,480,A,260,72,388,199
/content/Ouhands_bounding/train_colour/A-mka-0001.png,640,480,A,196,268,348,415
/content/Ouhands_bounding/train_colour/A-mka-0002.png,640,480,A,172,186,326,347
